StartDate,EndDate,Duration (in seconds),Finished,ResponseId,DistributionChannel,UserLanguage,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q12,Q13,Q14,Q15,Q16
11/29/2020 13:18,11/29/2020 13:35,976,TRUE,R_1K3hDTxjkFXsLP6,email,EN,"I consent, begin the study.",Male,Masters,Europe,More than 20 years,Qt,No,No,,More than 100,11 to 15 hours,7,3,2,5,4,7,4,6,3,2,21 to 50,"No, I always pay same attention to code written by any types of developers","Inexperienced developer, in-house projects",Yes,"Deep code paths, lack of concentration"
11/30/2020 8:54,11/30/2020 9:00,371,TRUE,R_3fcKbRNUFojMPi2,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),11 to 20 years,Chromium,Yes,Yes,11 to 20,More than 100,More than 20 hours,5,5,8,1,3,3,8,8,1,1,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics","new hire, or a person who has limited experience in the area of the code being changed",Yes,
11/30/2020 9:28,11/30/2020 10:10,2535,TRUE,R_XyP8E3Lwjo6ThAd,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),3 to 5 years,Chromium,Yes,Yes,,More than 100,16 to 20 hours,9,6,9,6,3,5,7,2,2,5,None,"No, I always pay same attention to code written by any types of developers",Experience in software development,No,
11/23/2020 12:51,11/23/2020 12:53,138,FALSE,R_2Yc9HH9TSXfP7Rb,email,EN,"I consent, begin the study.",Male,Bachelors,Europe,11 to 20 years,qutebrowser,Yes,No,,More than 100,6 to 10 hours,4,4,4,4,4,4,4,4,4,4,,,,,
11/23/2020 12:55,11/23/2020 12:56,57,FALSE,R_1MLoNRei7dImDwe,email,EN,"I consent, begin the study.",Male,Masters,Europe,11 to 20 years,,,,,,,,,,,,,,,,,,,,,
11/23/2020 12:51,11/23/2020 12:56,338,FALSE,R_3qDTiNVhdu5Ae1d,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,Chromium,Yes,Yes,11 to 20,More than 100,6 to 10 hours,,,,,,,,,,,,,,,
11/23/2020 13:02,11/23/2020 13:04,116,FALSE,R_rrMq466SAQfCLyV,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,Python Cryptographic Authority,No,No,,More than 100,2 to 5 hours,,,,,,,,,,,,,,,
11/23/2020 13:06,11/23/2020 13:09,166,FALSE,R_3Rea3jTb7X0kCRK,email,EN,"I consent, begin the study.",,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2020 13:11,11/23/2020 13:11,14,FALSE,R_2qjV5173YkSJkCL,email,EN,"I consent, begin the study.",,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2020 13:15,11/23/2020 13:17,102,FALSE,R_3KCsnTboZQbWNg4,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),11 to 20 years,na,,,,,,,,,,,,,,,,,,,,
11/23/2020 13:14,11/23/2020 13:19,300,FALSE,R_2WYFCVz4EMN3xXT,email,EN,"I consent, begin the study.",Male,Bachelors,South America,11 to 20 years,Debian,No,No,,More than 100,Less than 2 hours,,,,,,,,,,,,,,,
11/23/2020 13:20,11/23/2020 13:20,32,FALSE,R_2z7rgQiuiou6B9j,email,EN,"I consent, begin the study.",,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2020 13:26,11/23/2020 13:27,91,FALSE,R_3smjv3bfKMAwspL,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),11 to 20 years,Go,No,Yes,3 to 5,More than 100,16 to 20 hours,,,,,,,,,,,,,,,
11/30/2020 14:47,11/30/2020 14:56,535,TRUE,R_2a9m7aTFAy1zXYb,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),More than 20 years,chrome os,Yes,Yes,6 to 10,More than 100,2 to 5 hours,7,5,2,3,9,7,9,3,3,3,1 to 5,"No, I always pay same attention to code written by any types of developers","lack of expertise, lack of intellectual abilities ",Yes,lack of expertise
11/23/2020 12:51,11/23/2020 15:30,9532,FALSE,R_OoMb2cDZgdiK6Ix,email,EN,"I consent, begin the study.",Male,Ph.D.,North America (US and Canada),More than 20 years,Chrome,Yes,Yes,,More than 100,More than 20 hours,,,,,,,,,,,,,,,
11/23/2020 15:39,11/23/2020 15:43,240,FALSE,R_2flDr5cb8IsgLDQ,email,EN,"I consent, begin the study.",Male,Masters,Europe,More than 20 years,Android,No,Yes,,More than 100,More than 20 hours,,,,,,,,,,,,,,,
11/23/2020 17:41,11/23/2020 17:43,87,FALSE,R_3HiAK7tpxWUacJL,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,,,,,,,,,,,,,,,,,,,,,
11/23/2020 18:46,11/23/2020 18:51,304,FALSE,R_2sdOP6tFFboEEw5,email,EN,"I consent, begin the study.",,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,,,,,
11/23/2020 22:48,11/23/2020 22:50,107,FALSE,R_21n79p2vvTPAUbR,email,EN,"I consent, begin the study.",Male,Ph.D.,North America (US and Canada),11 to 20 years,spinnaker,Yes,Yes,,21 to 50,2 to 5 hours,,,,,,,,,,,,,,,
11/24/2020 0:07,11/24/2020 0:07,22,FALSE,R_AtDUoD0IVKfw9EJ,email,EN,"I consent, begin the study.",,,,,,,,,,,,,,,,,,,,,,,,,
11/24/2020 3:46,11/24/2020 3:47,63,FALSE,R_1ln7E0iC47cbiEX,email,EN,"I consent, begin the study.",Male,Ph.D.,Europe,Less than a year,LibreOffice,,,,,,,,,,,,,,,,,,,,
11/24/2020 7:47,11/24/2020 7:49,111,FALSE,R_qEdrglqvCakCD4d,email,EN,"I consent, begin the study.",Male,Masters,Europe,More than 20 years,"Qt, MXE",,,,,,,,,,,,,,,,,,,,
11/24/2020 8:02,11/24/2020 8:12,568,FALSE,R_3pkXVydC89ItvFd,email,EN,"I consent, begin the study.",Male,Others,North America (US and Canada),6 to 10 years,qt,No,Yes,More than 20,Less than 10,More than 20 hours,,,,,,,,,,,,,,,
11/24/2020 8:16,11/24/2020 8:27,661,FALSE,R_3Ebf9Vx0svzjHN6,email,EN,"I consent, begin the study.",Male,Masters,Europe,11 to 20 years,Qt,No,No,,Less than 10,2 to 5 hours,8,3,2,4,9,4,8,4,3,3,None,"Yes, I often pay closer attention to code written by developers with certain characteristics",inexperienced in software development and inexperienced with secure software development ,Yes,
11/24/2020 9:08,11/24/2020 9:10,107,FALSE,R_PAkSgoQiwewjM4h,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),11 to 20 years,Chromium,Yes,Yes,,More than 100,11 to 15 hours,,,,,,,,,,,,,,,
11/24/2020 9:22,11/24/2020 9:23,68,FALSE,R_3p8TyHur1q6nfW1,email,EN,"I consent, begin the study.",Male,High school,Europe,6 to 10 years,,,,,,,,,,,,,,,,,,,,,
11/24/2020 11:05,11/24/2020 11:08,173,FALSE,R_2DZiDzVX0CCrJ2X,email,EN,"I consent, begin the study.",Male,Masters,Europe,More than 20 years,OpenStack,Yes,Yes,,More than 100,2 to 5 hours,,,,,,,,,,,,,,,
11/24/2020 10:56,11/24/2020 11:30,2080,FALSE,R_24zRW4VfsWUvX1s,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),6 to 10 years,jEdit,No,No,,More than 100,Less than 2 hours,,,,,,,,,,,,,,,
11/24/2020 11:22,11/24/2020 11:47,1459,FALSE,R_2ZTUJvFNMg5QR7C,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,The Go programming language,Yes,Yes,3 to 5,More than 100,11 to 15 hours,10,6,8,4,5,5,6,1,3,1,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics","Lack of experience, lack of familiarity with project, few or low-quality previous contributions ",Yes,
12/2/2020 13:20,12/2/2020 14:12,3104,TRUE,R_d5MuN6DpAUHD9OV,anonymous,EN,"I consent, begin the study.",Male,Others,North America (US and Canada),6 to 10 years,openstack,Yes,Yes,3 to 5,More than 100,2 to 5 hours,8,8,4,6,10,6,8,3,4,5,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics",Less familiar maintainers clearly get more attention than practiced maintainers on the the project ,Yes,"Usually, unexpected side effects that where not caught in tests or directly in modification, like when a data exchanged downstream is not exactly the same anymore."
12/2/2020 18:20,12/2/2020 18:32,705,TRUE,R_WwKdj7pLph3zlL3,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,Linux kernel,Yes,No,,More than 100,6 to 10 hours,5,2,1,2,2,3,5,1,1,4,21 to 50,"No, I always pay same attention to code written by any types of developers",new developer,Yes,"Code was too complex.
Object lifetime rules not well defined."
11/25/2020 21:46,11/25/2020 21:50,230,FALSE,R_qQQvVwmRBf1EKFr,email,EN,"I consent, begin the study.",Male,Others,North America (US and Canada),11 to 20 years,antergos,No,No,,11 to 20,Less than 2 hours,8,7,3,2,7,2,7,1,4,3,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics",,Yes,
12/3/2020 8:04,12/3/2020 8:04,7,TRUE,R_3oEY7krPXJQUPh0,email,EN,I do not consent,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2020 8:03,12/3/2020 8:10,411,TRUE,R_1LqBYYxzzng1wZx,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),6 to 10 years,chromium,Yes,Yes,6 to 10,More than 100,6 to 10 hours,5,5,5,5,6,5,4,5,4,4,None,"No, I always pay same attention to code written by any types of developers",,,
12/3/2020 8:10,12/3/2020 8:15,338,TRUE,R_Rtylzt9lDRfqeXL,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),3 to 5 years,Chromium,Yes,Yes,More than 20,More than 100,11 to 15 hours,10,4,4,3,9,6,10,2,3,2,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics",Unfamiliarity with the code being worked on,No,
12/3/2020 8:08,12/3/2020 8:22,865,TRUE,R_25HeXviQYHsi4wM,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),6 to 10 years,Chromium,Yes,Yes,More than 20,More than 100,Less than 2 hours,4,7,4,4,7,4,7,4,4,4,None,"No, I always pay same attention to code written by any types of developers","I generally review code written by developers new to the team and/or external contributors more carefully, but this is not specific to security reviews (which I did not specialize in).",No,
12/3/2020 8:15,12/3/2020 8:31,932,TRUE,R_1rcYI072MtdUbYv,email,EN,"I consent, begin the study.",Male,High school,Europe,6 to 10 years,CMake,No,No,,21 to 50,Less than 2 hours,6,4,7,5,1,1,2,2,3,6,None,"Yes, I often pay closer attention to code written by developers with certain characteristics","* C programmer.
* Lacking experience with the standard library.",No,
12/3/2020 8:27,12/3/2020 8:34,402,TRUE,R_3fGW8LFvq4OoJIN,email,EN,"I consent, begin the study.",Male,High school,Europe,More than 20 years,Chromium,Yes,Yes,More than 20,More than 100,11 to 15 hours,8,5,3,6,8,5,6,6,3,2,More than 50,"No, I always pay same attention to code written by any types of developers",New hires.,Yes,"Non obvious issue, related to code that was not part of the code review."
12/3/2020 8:34,12/3/2020 8:34,31,TRUE,R_D6kI4EW2ExGqimB,email,EN,I do not consent,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2020 8:21,12/3/2020 8:34,786,TRUE,R_1pXug2bfwAORN8n,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,x265,No,No,,More than 100,11 to 15 hours,10,5,8,3,7,2,6,3,4,3,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics","new developer especially younger people work in startup company.
",Yes,"During company assignment tons of tasks to me, I am overload, too busy for my KPI and salary, in result, I lack one of memory boundary check."
12/3/2020 8:25,12/3/2020 8:37,709,TRUE,R_1re6xIrtxvi8kGw,email,EN,"I consent, begin the study.",Male,Masters,Other Asian Countries,11 to 20 years,OpenStack,No,No,,21 to 50,6 to 10 hours,5,4,7,7,8,7,2,7,5,2,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics",not following security guidelines and industry standards,Yes,"because of manual analysis, missed improper input (out of bound). So, application crashed for that input. Noticed it in OpenDayLight open source project also."
12/3/2020 8:27,12/3/2020 8:39,677,TRUE,R_yXi32dfMzCgZ1yp,email,EN,"I consent, begin the study.",Male,Masters,Europe,11 to 20 years,Qt,Yes,No,,More than 100,6 to 10 hours,9,5,4,5,9,4,8,8,6,4,None,"Yes, I often pay closer attention to code written by developers with certain characteristics",prior history of secure coding mistakes,Yes,
12/3/2020 8:33,12/3/2020 8:43,613,TRUE,R_3QRY91CQrJwcIfg,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,small projects at Red Hat,Yes,No,,More than 100,2 to 5 hours,8,4,1,1,4,1,4,2,4,4,6 to 10,"No, I always pay same attention to code written by any types of developers",Inexperience.,Yes,Lack of care or attention.
12/3/2020 8:43,12/3/2020 8:53,580,TRUE,R_3lWXXrk3qGvF1u7,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),6 to 10 years,Mozilla,Yes,Yes,1 to 2,More than 100,11 to 15 hours,6,3,3,3,6,3,3,3,3,5,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics","Prior mistakes
Lack of experience
Writing inadequate tests for a patch
Generally ""sloppy"" coding tends to indicate a higher risk of security bugs",Yes,Typically violation of subtle threading or memory safety invariants. Sometimes these could be asserted (e.g. that operation X is happening on the expected) but were not.
12/3/2020 8:57,12/3/2020 9:15,1047,TRUE,R_SHnKEgE4j442tax,email,EN,"I consent, begin the study.",Male,Others,North America (US and Canada),More than 20 years,OpenStack,Yes,Yes,3 to 5,More than 100,6 to 10 hours,6,3,3,3,4,3,4,4,3,3,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics","We have a relatively small community of developers in our project (OpenStack divides development and reveiws into projects, so even though there lots of reviews going on concurrently in OpenStack as a whole, individual reviewers work with a relatively small community of developers submitting patches.

So we can give more attention in this regard to reviews from inexperienced or unfamiliar developers.
Also, depending on the nature of the patch there will be reason for more or less security scrutiny.  We work in python so for example there's not a lot of security scrutiny need for a patch that simply fixes a log message in terms of memory allocation, buffer overlow, etc.  One can concentrate on what is being said in the message and who will be able to read it.",Yes,Inexperience on my part.  I didn't realize that certain information about cloud resources should not be exposed to regular users.
12/3/2020 9:11,12/3/2020 9:22,698,TRUE,R_1djnIvx1Pu4LUar,email,EN,"I consent, begin the study.",Male,Ph.D.,North America (US and Canada),More than 20 years,Chromium libaom,No,No,,More than 100,2 to 5 hours,10,8,7,8,7,8,8,7,7,8,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics","inexperienced software development, new hire",No,
12/3/2020 8:48,12/3/2020 9:26,2273,TRUE,R_31FsfoEYSHkaKNO,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),3 to 5 years,Chromium OS,Yes,Yes,,More than 100,2 to 5 hours,7,6,8,8,7,3,10,6,3,3,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics","Typically, I pay more attention for developers who are new to professional software engineering. If I know that somebody has made a particular mistake recently, I am careful to check for more instances of that mistake.",Yes,"Code review was too cursory
Insufficient knowledge of system under review to understand how it interacted with a change to cause a defect.
"
12/3/2020 9:15,12/3/2020 10:02,2810,TRUE,R_1Kj9qtjn2PZOlti,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),6 to 10 years,chromium,Yes,Yes,11 to 20,More than 100,11 to 15 hours,7,5,1,1,7,1,7,1,2,1,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics",Inexperience and unfamiliarity with the code.,Yes,"A use-after-free crash occurring after a bad assumption about the code (guaranteed non-null, etc.)."
12/3/2020 9:35,12/3/2020 10:22,2794,TRUE,R_2YKABEIzvSZPID6,email,EN,"I consent, begin the study.",Male,Masters,Other Asian Countries,11 to 20 years,openstack,Yes,Yes,3 to 5,More than 100,16 to 20 hours,5,6,6,9,7,8,5,7,7,3,21 to 50,"Yes, I often pay closer attention to code written by developers with certain characteristics",Unaware of the application design,Yes,Not on the same page about the scope of the series of code patches implementing the corresponding feature
12/3/2020 10:20,12/3/2020 10:28,476,TRUE,R_pQQX5fd3nmsyKzf,email,EN,"I consent, begin the study.",Male,Masters,Europe,11 to 20 years,Qt,Yes,Yes,3 to 5,More than 100,6 to 10 hours,8,3,6,3,7,4,6,2,3,2,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics",inexperience in current project,Yes,
12/3/2020 9:41,12/3/2020 10:29,2881,TRUE,R_sXN680LaGU271kJ,email,EN,"I consent, begin the study.",Male,Masters,Europe,More than 20 years,Firefox,Yes,Yes,1 to 2,More than 100,More than 20 hours,10,9,9,5,8,5,7,2,4,4,More than 50,"No, I always pay same attention to code written by any types of developers","mostly it's unfamiliarity with the code base, which is very complex",Yes,Sometimes a change looks deceptively simple and it's easy to let your guard down in those cases and not think deeply enough about the consequences of the change. In some cases I wasn't familiar enough with the code I was reviewing.
12/3/2020 10:26,12/3/2020 10:30,242,TRUE,R_qLu9tN30zNAixLX,email,EN,"I consent, begin the study.",Female,Bachelors,North America (US and Canada),6 to 10 years,Chromium,Yes,Yes,,More than 100,2 to 5 hours,4,7,3,3,5,7,8,7,3,3,1 to 5,"No, I always pay same attention to code written by any types of developers",,Yes,
12/3/2020 10:11,12/3/2020 10:41,1791,TRUE,R_vAdnJmHmL6ydiPn,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),6 to 10 years,Mozilla Firefox,Yes,Yes,3 to 5,More than 100,2 to 5 hours,2,4,3,6,5,2,6,1,5,4,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics",Inexperience.,Yes,"I work on a JavaScript engine. It's very complicated. Security problems often involve exploiting the interaction of corner cases, which are hard to reason about and easy to miss."
12/3/2020 10:52,12/3/2020 10:58,319,TRUE,R_daPSHKJCu8xnxxn,email,EN,"I consent, begin the study.",Male,Masters,Europe,6 to 10 years,libreoffice ,No,No,,51 to 100,Less than 2 hours,9,8,4,8,5,8,7,8,4,2,None,"Yes, I often pay closer attention to code written by developers with certain characteristics",Inexpérienced developers,No,
12/3/2020 10:18,12/3/2020 10:58,2377,TRUE,R_w152pLPcWhFNwqZ,email,EN,"I consent, begin the study.",Female,Masters,North America (US and Canada),3 to 5 years,chrome,Yes,Yes,3 to 5,More than 100,More than 20 hours,10,9,9,9,9,10,9,8,10,9,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics", inexperienced in software development,No,
12/3/2020 10:43,12/3/2020 11:02,1116,TRUE,R_2To2Gby144LZaHB,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),6 to 10 years,Chromium,Yes,Yes,11 to 20,More than 100,6 to 10 hours,6,3,2,2,4,2,4,1,1,2,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics","The primary characteristic is the difficulty the developer encountered while creating the patch set or design.

By its nature, developers who are new to the programming language, project architecture, or general  practices of the team have more difficulty, but even experienced and senior developers trying to tackle a difficult and complex problem make mistakes.",Yes,"Reviewer unfamiliarity with the language and its memory management model.
Insufficient testing.
Mismatched understanding of the threat model."
12/3/2020 11:02,12/3/2020 11:07,308,TRUE,R_eLMyCOfgvhzzIJz,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,,No,No,,More than 100,Less than 2 hours,10,8,6,8,6,10,8,8,7,5,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics","Inexperience, prior history, complexity of current commit",No,
12/3/2020 8:28,12/3/2020 11:09,9630,TRUE,R_25tPD4hpzseOJ1g,email,EN,"I consent, begin the study.",Female,Bachelors,North America (US and Canada),More than 20 years,chromium,Yes,Yes,11 to 20,More than 100,2 to 5 hours,10,10,7,5,10,2,5,7,3,2,None,"No, I always pay same attention to code written by any types of developers",Unfamiliar with the specific security risks of the product.,Yes,Software can grow quite complex; chromium is well over 10 million lines and 1000 contributors. It's not possible to identify every issue in code review.
12/3/2020 8:45,12/3/2020 12:05,12016,TRUE,R_1pMvHVI8auTkHoD,email,EN,"I consent, begin the study.",Male,Masters,Europe,6 to 10 years,Firefox,Yes,Yes,3 to 5,More than 100,2 to 5 hours,7,1,2,2,8,4,9,2,9,5,1 to 5,"No, I always pay same attention to code written by any types of developers",,Yes,Big complex systems that don't fit in a single person's head. Small changes can have effects far from the modified code. 
12/3/2020 13:11,12/3/2020 13:21,574,TRUE,R_265aM8w0IP8uJ4S,email,EN,"I consent, begin the study.",Male,Masters,Europe,6 to 10 years,linux kernel,Yes,No,,More than 100,6 to 10 hours,8,6,3,6,6,6,4,6,6,5,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics",unknown person,Yes,"lack of experience, hard to detect"
12/3/2020 13:20,12/3/2020 13:27,435,TRUE,R_1ouUaWBoSPPamIa,email,EN,"I consent, begin the study.",Male,High school,North America (US and Canada),11 to 20 years,Chromium,Yes,Yes,6 to 10,More than 100,6 to 10 hours,3,5,1,1,3,7,7,5,4,1,21 to 50,"Yes, I often pay closer attention to code written by developers with certain characteristics",Experience and history are good indicators of code quality. ,Yes,Most missed vulnerabilities are due to complex interactions between systems that are not familiar to the author and reviewers. This is especially true when the API surface between systems is poorly defined (ie spaghetti code).
12/3/2020 14:40,12/3/2020 14:45,304,TRUE,R_2zuyc3XS8C7P2Ko,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,Chromium,Yes,Yes,More than 20,21 to 50,6 to 10 hours,8,3,3,3,6,4,8,3,6,3,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics","inexperienced in software development, new hire, and prior history of secure coding mistakes",No,
12/3/2020 14:17,12/3/2020 15:04,2778,TRUE,R_3e4fIoEHAOAVsjD,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,riswidget,Yes,No,,More than 100,Less than 2 hours,5,2,2,2,2,4,8,7,1,7,More than 50,"Yes, I often pay closer attention to code written by developers with certain characteristics",The desire to impress peers by adding complexity.,Yes,It is easy to overlook the interactions of separate feature-addition changes made to application communication protocols over a long period of time.
12/3/2020 15:09,12/3/2020 15:17,446,TRUE,R_3QQ5IqHZR5qmxbe,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),6 to 10 years,Chromium,Yes,Yes,More than 20,More than 100,16 to 20 hours,9,4,2,4,6,2,8,8,3,6,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics",experience with the area of code that is being changed,Yes,"didn't understand what assumptions were valid, when working with less familiar areas or on things which depend on complex fundamentals of the codebase (e.g. how our garbage collectors work)"
12/3/2020 15:17,12/3/2020 15:46,1743,TRUE,R_2AKep9PMgi8DIZg,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),6 to 10 years,chromium,Yes,Yes,6 to 10,More than 100,6 to 10 hours,5,10,1,4,9,2,6,3,5,4,11 to 20,"No, I always pay same attention to code written by any types of developers","None. I look a characteristics of the code, not characteristics of the developer. E.g. is the code written in a memory-unsafe (e.g. C/C++) language; is the code doing its own parsing; is the code directly reading from/writing to a buffer instead of using an abstraction that is well reviewed and tested?",Yes,Humans make mistakes
12/3/2020 15:49,12/3/2020 15:59,586,TRUE,R_r1DngR0W4b1jdpn,email,EN,"I consent, begin the study.",Female,Bachelors,North America (US and Canada),3 to 5 years,Monorail - Chromium issue tracker,Yes,No,,More than 100,More than 20 hours,6,7,4,4,7,7,6,4,4,6,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics",I tend to more closely scrutinize code written by external contributors (ie: open source contributors outside of my company) than code written by my teammates. ,No,
12/3/2020 15:23,12/3/2020 16:38,4495,TRUE,R_dosCJNkbR4zWRsR,email,EN,"I consent, begin the study.",Male,Ph.D.,North America (US and Canada),More than 20 years,Blink (web platform),Yes,Yes,More than 20,More than 100,11 to 15 hours,6,3,7,4,6,8,4,4,2,3,21 to 50,"Yes, I often pay closer attention to code written by developers with certain characteristics","New hires, team transfers and external contributors are often less experienced with the code architecture and coding guidelines.  Some developers are a bit less careful about testing edge cases.  ",Yes,Null pointer exceptions can be hard to catch at code review time given the complexity of the code base. It is easy to rationalize that a value can never be null only to see an edge case crop up after code review. It is common for the reviewer to ask a developer to add explicit checks against null values or to add tests to cover possible edge cases. The review process is not 100% reliable.
12/3/2020 17:35,12/3/2020 17:39,241,TRUE,R_1gucJwv8lQwXS0F,email,EN,"I consent, begin the study.",Male,Bachelors,Other Asian Countries,3 to 5 years,Bazel,No,No,,11 to 20,Less than 2 hours,9,5,8,7,8,3,7,3,5,7,None,"No, I always pay same attention to code written by any types of developers",,No,
12/3/2020 19:33,12/3/2020 19:40,428,TRUE,R_22ljN7L7wpdYV6E,email,EN,"I consent, begin the study.",Male,Bachelors,"East Asia (China, Japan, South Korea, Taiwan, Hong Kong)",11 to 20 years,PHP,No,Yes,3 to 5,11 to 20,Less than 2 hours,9,4,4,7,7,4,7,7,4,5,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics",inexperienced junior developer,Yes,I am a human
12/3/2020 19:18,12/3/2020 19:51,1970,TRUE,R_1mnleR664yPHJsv,email,EN,"I consent, begin the study.",Male,Masters,"East Asia (China, Japan, South Korea, Taiwan, Hong Kong)",More than 20 years,Chromium,No,No,,More than 100,Less than 2 hours,5,1,4,5,4,1,1,4,1,1,None,"Yes, I often pay closer attention to code written by developers with certain characteristics","Honest, Smart",No,
12/3/2020 20:38,12/3/2020 20:50,733,TRUE,R_31nLgWgOWbr9OpD,email,EN,"I consent, begin the study.",Female,Bachelors,"East Asia (China, Japan, South Korea, Taiwan, Hong Kong)",Less than a year,Chromium,Yes,Yes,11 to 20,51 to 100,6 to 10 hours,7,5,5,4,6,5,7,5,3,4,1 to 5,"No, I always pay same attention to code written by any types of developers","new hire, not familiar with the coding language",No,
12/3/2020 19:12,12/3/2020 21:12,7201,TRUE,R_1LoOcdtWosBhP2D,email,EN,"I consent, begin the study.",Other,Bachelors,Oceania (Australia and New Zealand,6 to 10 years,Arcs [previously part of Chrome],Yes,No,,More than 100,2 to 5 hours,10,5,6,5,7,6,6,7,4,2,1 to 5,"No, I always pay same attention to code written by any types of developers","Assumptions that users cannot be 'the source' of data will often lead to the assumption that the data cannot be, or is not, malformed (which is a common source of bugs and security issues that I've seen).",Yes,I was not aware that the code I was reviewing was handling strings that would be sent to a SQL database. This meant that I didn't look for escaping/de-escaping bugs (I found this much later but fortunately before release).
12/4/2020 0:07,12/4/2020 0:24,1045,TRUE,R_27kC4wQCsqIObBp,email,EN,"I consent, begin the study.",Male,Bachelors,"East Asia (China, Japan, South Korea, Taiwan, Hong Kong)",11 to 20 years,Linux,No,No,,Less than 10,2 to 5 hours,7,2,7,3,3,2,2,6,1,1,1 to 5,"No, I always pay same attention to code written by any types of developers",,No,
12/4/2020 1:07,12/4/2020 1:10,198,TRUE,R_33pTitj6QASIpnM,email,EN,"I consent, begin the study.",Male,Masters,Europe,6 to 10 years,Chromium,Yes,Yes,11 to 20,More than 100,11 to 15 hours,6,6,7,4,7,4,5,6,6,5,21 to 50,"Yes, I often pay closer attention to code written by developers with certain characteristics",,Yes,
12/4/2020 2:01,12/4/2020 2:08,430,TRUE,R_2QQXIDxc9o76sQe,email,EN,"I consent, begin the study.",Male,Ph.D.,Europe,11 to 20 years,,No,No,,51 to 100,Less than 2 hours,9,3,3,7,7,8,5,6,5,3,None,"No, I always pay same attention to code written by any types of developers",,Yes,Not enough expertise in  the problem
